status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.0012570020000000001,0.00073892,0.000518082,28378,"[18,6,5,19,6,6,6,0,17,12,10,10,8,10,0,4,11,9,11,22,14,10,16,13,2,22,13,17,11,4,0]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1457.31,4308.41,3535.44,-1595.96,963.289,-1335.85,3959.49,-3852.02,1018.77,334.973,-4215.32,-231.176,-4151.93,-712.004,-4096.5,-1872.77,3311.54,986.396,3799.46,238.072,2582.22,4161.94,-144.498,2571.05,-4163.82,3135.35,531.518,-4182.45,-2606.91,4179.08,-2391.55]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1457.3073369941576",1.43407e+06,"[1.43407e+06]",0
Running,1056,0,0.004935333,0.003760727,0.001174606,28378,"[18,6,5,19,6,6,6,0,17,12,10,10,8,10,0,4,11,9,11,22,14,10,16,13,2,22,13,17,11,4,0]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1457.31,4308.41,3535.44,-1595.96,963.289,-1335.85,3959.49,-3852.02,1018.77,334.973,-4215.32,-231.176,-4151.93,-712.004,-4096.5,-1872.77,3311.54,986.396,3799.46,238.072,2582.22,4161.94,-144.498,2571.05,-4163.82,3135.35,531.518,-4182.45,-2606.91,4179.08,-2391.55]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1457.3073369941576",1.43407e+06,"[1.43407e+06]",0
Running,2233,0,0.006625065,0.004227151,0.002397914,28378,"[18,6,5,19,6,6,6,0,17,12,10,10,8,10,0,4,11,9,11,22,14,10,16,13,2,22,13,17,11,4,0]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1457.31,4308.41,3535.44,-1595.96,963.289,-1335.85,3959.49,-3852.02,1018.77,334.973,-4215.32,-231.176,-4151.93,-712.004,-4096.5,-1872.77,3311.54,986.396,3799.46,238.072,2582.22,4161.94,-144.498,2571.05,-4163.82,3135.35,531.518,-4182.45,-2606.91,4179.08,-2391.55]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1457.3073369941576",1.43407e+06,"[1.43407e+06]",0
Running,4545,0,0.010189151,0.005332037,0.004857114,28378,"[18,20,19,19,19,20,2,2,3,6,8,22,13,8,16,8,11,22,21,20,6,4,1,3,16,21,19,14,16,13,3]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[2060.88,-4632.26,4346.61,2860.5,4637.71,3490.69,2987.23,252.861,1763.48,-1219.96,1789.23,1768.28,1574.98,-963.953,1453.25,-766.292,-553.514,3725.74,3896.04,512.18,-2772.78,-3075.84,1848.37,561.8,-4290.18,-4746.04,-378.825,2854.05,-2033.4,1845.11,-4729.74]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","2060.87630414833",1.26378e+06,"[1.26378e+06]",0
Running,9229,0,0.017484487,0.007844427,0.00964006,28378,"[18,22,13,12,2,22,6,17,7,15,17,19,14,3,17,2,5,21,14,4,14,12,4,9,7,3,22,11,11,11,11]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1981.77,-4051.73,-4555.44,3025.8,-4308.75,-1699.77,-1150.82,-1394.69,1425.42,-4051.65,-3459.23,-4503.77,-2074.32,-577.036,-2246.39,3644.7,-3158.31,-2210.69,193.49,-4330.72,-4263.51,-876.432,2323.28,-1431.57,2374.22,-4686.98,-2435.15,-4154.36,4376.02,-1832.08,-2704.63]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1981.7664697596329",1.24461e+06,"[1.24461e+06]",0
Running,10915,1,0.023458938999999998,0.010347562,0.013111377,28378,"[18,22,13,12,2,22,6,17,7,15,17,19,14,3,17,2,5,21,14,4,14,12,4,9,7,3,22,11,11,11,11]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1981.77,-4051.73,-4555.44,3025.8,-4308.75,-1699.77,-1150.82,-1394.69,1425.42,-4051.65,-3459.23,-4503.77,-2074.32,-577.036,-2246.39,3644.7,-3158.31,-2210.69,193.49,-4330.72,-4263.51,-876.432,2323.28,-1431.57,2374.22,-4686.98,-2435.15,-4154.36,4376.02,-1832.08,-2704.63]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1981.7664697596329",1.24461e+06,"[1.24461e+06]",0
Running,18612,2,0.041544164999999994,0.018183203,0.023360962,28378,"[19,15,19,2,21,10,20,18,8,10,17,19,19,3,12,14,7,20,14,9,19,2,9,9,18,6,5,0,12,5,3]","[1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-1791.12,-4661.1,-1650.3,187.28,-3727,4731.51,3066.16,456.078,3828.44,1355.3,-459.088,4600.54,932.179,-1370.07,-1696.18,64.0799,650.248,307.782,-1964.73,1583.13,4552.29,-3205.25,-1427.3,-4792.71,2591.84,1558.76,828.767,3845.03,3405.86,3117.9,1061.12]","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x15 + (x2 + (x10 * (456.0784194218577 - x8))))",1.09142e+06,"[1.09142e+06]",0
Running,37444,3,0.071440696,0.028152982,0.043287714,28378,"[19,15,19,21,21,10,20,18,8,10,17,21,19,14,2,0,17,20,18,19,19,2,2,9,8,13,5,10,12,9,5]","[1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-1791.12,-4661.1,-1650.3,187.28,-3727,4731.51,3066.16,456.078,3828.44,1355.3,-459.088,4600.54,932.179,-1370.07,-1696.18,64.0799,650.248,307.782,-1964.73,1583.13,4552.29,-3205.25,-1427.3,-4792.71,2591.84,1558.76,828.767,3845.03,3405.86,3117.9,1061.12]","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x15 + (((x0 * x17) * (x14 + x2)) + (x10 * (456.0784194218577 - x8))))",1.0064e+06,"[1.0064e+06]",0
Running,45123,4,0.084859319,0.032468031,0.052391288,28378,"[19,15,19,21,21,10,20,18,8,3,17,21,19,6,15,5,17,20,20,19,19,2,15,9,8,13,13,10,12,9,5]","[1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-1791.12,-4661.1,-1650.3,187.28,-3727,4731.51,3066.16,456.078,3828.44,1355.3,-459.088,4600.54,932.179,-1370.07,-1696.18,64.0799,650.248,307.782,-1964.73,1583.13,4552.29,-3205.25,-1427.3,-4792.71,2591.84,1558.76,828.767,3845.03,3405.86,3117.9,1061.12]","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x15 + (((x5 * x17) * (x6 + x15)) + (x10 * (456.0784194218577 - x8))))",999272,"[999272]",0
Running,74911,6,0.13164439,0.045624876,0.086019514,28378,"[19,22,19,21,21,10,20,18,8,10,17,21,19,2,15,0,17,21,13,19,19,2,9,9,8,21,13,12,7,9,5]","[1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1]","[-1791.12,-4661.1,-1650.3,187.28,-3727,4731.51,3066.16,456.078,3828.44,1355.3,-459.088,4600.54,932.179,-1370.07,-1696.18,64.0799,650.248,307.782,-1964.73,1583.13,4552.29,-3205.25,-1427.3,-4792.71,2591.84,1558.76,828.767,3845.03,3405.86,3117.9,1061.12]","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x9 * x5) * x13)/x13) + (((x0 * x17) * (x2 + x15)) + (x10 * (456.0784194218577 - x8))))",934080,"[934080]",0
