total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed
3600.010127272457,'(12.588844299316 + ((-0.000000327994) * (((cos((4.817356109619 * x5)) - ((-5.033547878265) + (0.210086181760 * x5))) * (((cos((0.304351478815 * x4)) / (log(0.462509602308) + ((0.356781631708 * x6) - (-0.326716989279)))) + (0.771758198738 * x5)) * ((0.069900460541 * x3) - (4.676984786987 * x5)))) * ((((0.069900460541 * x3) - (5.504199028015 * x5)) - ((9.738729476929 * x4) - (0.620350003242 * x2))) - ((((-3.388981819153) * x6) - (4.344970703125 * x1)) * cos((2.000430107117 * x5)))))))',6.2640117325770825,6.264014720916748,74148232,9,16,384,7,128,paper,6,0,550243861
3600.0097589194775,'(7.693859100342 + ((-1.323047995567) * (((((-0.546260058880) * x5) + sqrt((2.226093053818 * x2))) * ((((-0.414518982172) * x5) + (cos((0.587454438210 * x5)) - cos(((-1.426078081131) * x5)))) ^ 2)) / ((2.529451370239 * x0) + (0.708411753178 * x3)))))',6.996906289279754,6.996907711029053,169300624,9,9,384,7,128,paper,4,0,2261209995
3600.0131168216467,'(2.738102674484 + (1049.913085937500 * ((((cos(sin((0.711412310600 * x5))) - ((-0.779342830181) * x0)) * (1.322036027908 / (0.868354022503 * x0))) ^ (0.216567561030 * x5)) / ((1.920401453972 * x2) + ((0.268473893404 * x3) + exp((log((0.032657839358 * x1)) ^ 2)))))))',7.330092360378736,7.330101013183594,124382423,9,26,384,7,128,paper,4,0,3533734220
3600.0089490562677,'((-40.102088928223) + (6.005064010620 * (((((2.465713977814 * x5) + ((-3.363242626190) * x5)) * ((sin(((-1.360261559486) * x5)) * (3.518837928772 * x6)) + ((-3.363242626190) * x5))) + (((7.606778144836 * x4) * ((-0.919306635857) * x2)) + ((102.302543640137 * x2) + (99.762695312500 * x2)))) / ((((9.040341377258 * x4) / (1.777109503746 * x6)) + ((0.747144579887 * x4) * ((-0.919306635857) * x2))) + ((0.226784884930 * x3) + ((10.341627120972 * x5) + (21.373380661011 * x2)))))))',6.980526449945525,6.980525970458984,89640413,9,11,384,7,128,paper,6,0,3160032368
3600.012507427484,'(4.874614238739 + ((-0.059477761388) * (((((1.030469655991 * x5) ^ 2) * sqrt(sqrt((sqrt(((0.009282827377 * x5) ^ ((-0.012550748885) * x2))) ^ ((0.703634500504 * x6) * cos(((-1.339390635490) * x5))))))) + (exp(((((-0.156278818846) * x4) ^ 2) ^ (0.009282827377 * x5))) + ((-3.080723762512) * x0))) * (((-1.638397932053) * x5) / ((1.988483190536 * x2) + (0.771951556206 * x3))))))',6.908505815046163,6.908504486083984,68280686,9,8,384,7,128,paper,4,0,404488628
3600.01701047644,'((-97.841545104980) + (9.860105514526 * (((((2.234716415405 * x2) + ((-1.596089243889) * x5)) + ((0.321905404329 * x3) + (2.253141641617 * x2))) + ((0.270047575235 * x5) ^ 2)) / (exp(sin((0.524871170521 * x5))) + (((0.416051506996 * x2) + (0.032966133207 * x3)) + sin(((-1.361995697021) * x5)))))))',7.0700095057023775,7.070009708404541,115177896,9,22,384,7,128,paper,6,0,3980425317
3600.011286791414,'((-1.914247274399) + (6494246.500000000000 * (((((-37.966262817383) * x4) / (0.143193349242 * x3)) - ((((-8.979379653931) * x4) / (0.858755111694 * x2)) - log(((5.560124874115 * x2) + (((((-25.146976470947) * x4) - ((2.129995822906 * x0) - (0.533570587635 * x3))) - (cos((2.202287673950 * x5)) * ((-9.917025566101) * x4))) - (0.143193349242 * x3)))))) * ((792.108703613281 * x3) ^ sin(log((1.709512472153 * x5)))))))',6.576747707641187,6.576748371124268,85385611,9,27,384,7,128,paper,6,0,2342600226
3600.010436102748,'(81.055816650391 + ((-78.062370300293) * ((72.977546691895 * x4) ^ (cos(cos(((0.071336589754 * x5) * ((((0.059566292912 * x1) ^ (cos((1.421670675278 * x1)) / (0.059566292912 * x1))) + sqrt((2.755471944809 * x0))) ^ cos((0.051907800138 * x5)))))) / ((-0.006203053519) * x3)))))',6.905724799289653,6.905724048614502,99688034,9,27,384,7,128,paper,4,0,2342600226
3600.0117447301745,'(14.898288726807 + ((-0.014335460030) * (((3.552924633026 * x3) - (((-1.617522478104) * x5) ^ 2)) / (sin((0.610684335232 * x5)) + sqrt(exp((cos(exp((0.998635232449 * x1))) + log((1.515550494194 * x2)))))))))',6.577093082303442,6.577104091644287,153709079,9,10,384,7,256,paper,4,0,4190266092
3600.016821052879,'((-34.874080657959) + (2.905691146851 * (((((0.007924019359 * x3) / (((0.117763914168 * x2) - sin((3.317284107208 * x5))) - ((1.252490401268 * x6) - sin((0.747198879719 * x2))))) + (0.765870511532 * x5)) + ((cos(((-0.625019252300) * x5)) + (cos((0.011703330092 * x3)) ^ 2)) ^ 2)) / log((0.007924019359 * x3)))))',6.162967943587315,6.162967681884766,130623491,9,0,384,7,128,paper,4,0,3324115916
3600.008733764291,'(1.944236159325 + (2387.129638671875 * (cos(log((3.151300430298 - cos(sqrt((1.289388656616 * x5)))))) / ((0.007292027585 * x3) - cos((1.422683358192 * x5))))))',7.781162999888092,7.7811598777771,203898175,9,1,384,7,128,paper,4,0,2811363264
3600.006855946034,'((-1.067706584930) + ((-0.436351180077) * log((((log(((0.707356035709 * x3) / (8.546789169312 * x5))) / 4.043269157410) ^ 2) ^ (sin((0.565664350986 * x5)) - (sqrt((0.633808016777 * x2)) + ((-0.382556319237) * x5)))))))',7.343354268803156,7.106422424316406,123675403,9,10,384,7,128,paper,4,0,4190266092
3600.0114455148578,'(8.622814178467 + (93.820755004883 * ((sin((0.489666342735 * x5)) + (0.107426486909 * x5)) / (cos(cos(((-0.654958784580) * x1))) * ((((((-0.447892874479) * x6) + sqrt((0.277910351753 * x3))) + (cos(((-0.195329234004) * x4)) * ((-0.195329234004) * x4))) ^ 2) / (((0.178033471107 * x5) + (log((0.318309873343 * x1)) + 0.955677211285)) - (0.035176716745 * x2)))))))',6.057081271211058,6.0570807456970215,156904783,9,15,384,7,256,paper,4,0,2204291346
3600.008477728814,'(3.601081609726 + (2176.633300781250 * ((((-0.101189479232) * x5) - sin(((-0.448358148336) * x5))) / ((((-2.560554265976) * x2) + (((0.132672801614 * x3) - ((-0.524416506290) * x0)) * (-1.342574834824))) / sqrt(sqrt((cos(sin((((2.556835651398 * x3) ^ 2) ^ cos(((-2.304312705994) * x2))))) ^ sin((2.344354152679 * x5)))))))))',6.62975713364104,6.537232875823975,82198452,9,6,384,7,256,paper,4,0,2995172877
