total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,mse_val,var_y_val
3600.0054343268275,'(4.228208065033 + (292.653320312500 * ((exp((((-1.082131981850) * x0) / (13.344596862793 * x2))) * (sin((2.224128723145 * x5)) + (0.288521409035 * x5))) * ((sin(((-0.488331258297) * x5)) - (0.147029548883 * x5)) / (((-0.749750316143) * x3) - (13.090426445007 * x2))))))',7.010542348075368,7.010542392730713,270428673,9,12,384,7,128,paper,4,0,3269070126,2.819607116087605,61.78745562130178
3600.0057682842016,'((-0.750729203224) + (2723.241699218750 * (((0.116486519575 * x5) + sin(((-0.364545851946) * x5))) / ((3.017229557037 * x2) + ((((((0.017491333187 * x4) / ((0.659883558750 * x6) ^ 2)) ^ 2) * (1.070492863655 * x0)) * sqrt(exp(cos((0.998698592186 * x0))))) - (((-2.759909152985) * x5) - (0.157218128443 * x3)))))))',6.714247710315749,6.71424674987793,298126321,9,18,384,7,128,paper,4,0,1934392872,6.1715991574046125,40.97751479289941
3600.005735322833,'(3.344216585159 + (15734.315429687500 * ((((((cos(((-2.282577514648) * x5)) - cos(((-0.361519783735) * x4))) / ((-0.349094599485) * x2)) - (0.014644501731 * x5)) ^ 2) + ((((-1.172851324081) * x0) / (7.996901035309 * x2)) + cos(log((exp(0.385262131691) - cos(((-0.297878026962) * x5))))))) / ((5.699393749237 * x2) - ((-0.300392955542) * x3)))))',6.540723118162535,6.5407233238220215,211146205,9,11,384,7,128,paper,4,0,3160032368,5.316698348580081,37.648639053254435
3600.005620546639,'(1.417533516884 + (2.895149707794 * ((((log((0.297475039959 * x2)) / (-0.296669811010)) - (cos(exp(cos(((-0.628559231758) * x5)))) + ((-0.568249702454) * x5))) ^ 2) / (((-0.467155516148) * (cos(sin((sin((2.320779561996 * x1)) - (2.073337078094 * x1)))) * ((-0.117055825889) * x3))) - (((-0.634072542191) * x5) + (2.611508369446 * x6))))))',6.627722472321434,6.627719879150391,241392941,9,17,384,7,128,paper,4,0,3606691181,5.742352227785972,53.85514792899409
3600.0058619119227,'(156.263916015625 + ((-155.871917724609) * (((0.031398408115 * x5) ^ ((0.114378705621 * x4) - (((-0.110436163843) * x5) + sin((((exp(((1.756481647491 * x6) ^ 2)) + (0.133682638407 * x4)) + (0.114378705621 * x4)) / (-1.598284482956)))))) ^ ((((-0.212191149592) * x5) + cos((((-0.819218397141) * x5) ^ 2))) / (0.318309873343 * x3)))))',7.605234767433221,6.961862087249756,114634322,9,19,384,7,128,paper,4,0,2148995112,3.1093198853820563,35.17100591715976
3600.0059569031,'((-15.292240142822) + (5.253611564636 * ((0.373258650303 * x5) - log(((((0.631068468094 * x3) ^ (0.037473976612 * x5)) / ((0.037473976612 * x5) - sin(cos((0.421536922455 * x5))))) / exp(cos(log(sqrt((sqrt(((0.045867070556 * x0) / (0.373472869396 * x6))) * ((0.634026229382 * x2) - (0.373258650303 * x5))))))))))))',7.12423827080432,7.124240398406982,168907086,9,13,384,7,128,paper,4,0,3081541439,9.214346238292393,39.60248520710059
3600.005229100585,'(7.042554855347 + ((-1.809776782990) * (((((-0.493379861116) * x5) + sqrt((((0.127451181412 * x2) * ((-0.173589587212) * x2)) / ((-3.417912721634) * x6)))) * ((((-0.432382613420) * x5) + (cos((0.587454438210 * x5)) - cos(((-1.425766229630) * x5)))) ^ 2)) / (exp((exp(cos(exp((1.075669288635 * x1)))) ^ 2)) + (1.357200145721 * x3)))))',6.600970982373467,6.600967884063721,266935716,9,9,384,7,128,paper,4,0,2261209995,8.488931178682563,57.220828402366855
3600.006022192538,'(16.423036575317 + (0.001951676793 * ((((-23.397058486938) * x3) - (((((-7.428348541260) * x6) + ((-1.575578451157) * x5)) ^ 2) * ((-0.074392199516) * x5))) / (((sin(((-0.652730524540) * x5)) - ((-1.233491778374) * x2)) + ((-1.151499390602) * x2)) - ((-1.151499390602) * x6)))))',7.02701337781959,7.02700662612915,314961989,9,16,384,7,128,paper,4,0,550243861,8.244897952057583,59.17313609467456
3600.006653446704,'(14.785535812378 + ((-0.016321664676) * (((3.141592741013 * x0) + ((6.069175720215 * x3) - ((0.659352362156 * x5) ^ 2.617647171021))) / ((sqrt((0.990327417850 * x0)) - (exp(((sin((0.291108459234 * x3)) / ((-0.073302447796) * x4)) - sin((1.951874136925 * x5)))) * sin(((-0.610221683979) * x5)))) - ((-0.102932259440) * x2)))))',6.211303307035231,6.211297512054443,148274827,9,21,384,7,128,paper,4,0,784044718,,67.99668639053255
3600.006942451,'((-6.028540134430) + ((-1.983193278313) * (((((-0.318440765142) * x5) / ((0.138669520617 * x2) ^ (((-3.002803087234) * x5) / (0.418803960085 * x3)))) + ((((16.876960754395 * x3) ^ ((0.346156179905 * x1) ^ ((-0.907316505909) * x0))) + sin((0.356804370880 * x5))) ^ 2)) / log(((0.142227724195 * x2) - cos(((-2.280064105988) * x5)))))))',6.617112607073395,6.617112636566162,91214138,9,14,384,7,128,paper,4,0,3376120482,8.084179373308503,52.635621301775146
