total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,mse_val,var_y_val
3600.038659926504,'(3.042176008224 + ((-2.270932197571) * cos((((log((3.006127834320 * x6)) + log(((1.026916623116 * x5) + (0.309569567442 * x2)))) + ((-0.763681113720) * x0)) - ((-0.505232751369) * x0)))))',0.5391759281671628,0.5391758680343628,17611017,california_housing,0,19952,8,128,paper,4,0,3324115916,0.5361215440601982,1.465685298106843
3600.0173609368503,'((-3.440032243729) + (8.335959434509 * cos((cos(((cos(((0.776265680790 * x1) / ((-0.645701646805) * x6))) - (0.707106769085 * x0)) * ((-0.332245707512) / (0.707106769085 * x5)))) ^ 2))))',0.4977855623362646,0.4977853000164032,18810499,california_housing,3,19952,8,128,paper,4,0,1859786275,0.4903889226498261,1.3738802419863227
3600.0293184891343,'((-35.176448822021) + ((-0.120582468808) * (((3.743373155594 * x6) - ((-3.891070127487) * x7)) + ((exp((((-0.314555555582) * x1) / ((0.434294492006 * x6) ^ (0.526287019253 * x5)))) * ((-0.153588235378) * x7)) + (((-0.128029182553) * x7) * cos(((-0.257431685925) * x0)))))))',0.4222816445693568,0.4222815334796905,16923312,california_housing,5,19952,8,128,paper,4,0,369133708,0.3911721277586698,1.3728930219608977
3600.0267295092344,'(3.282057762146 + (0.749281287193 * (cos((0.811263859272 * x5)) - (sin(log(((102.902153015137 * x5) + ((((-0.658562481403) * x6) ^ 2) - (11.285416603088 * x1))))) + (log((2.718281745911 * x2)) * cos((0.280206233263 * x0)))))))',0.4951229080978617,0.495122879743576,10555712,california_housing,13,19952,8,128,paper,4,0,3081541439,0.47508122755845933,1.3059154566722329
3600.033931404352,'(0.511714279652 + (4.603484153748 * ((((0.707106769085 * x0) / (3.138123989105 * x6)) / (log(sin(((((((-0.309740900993) * x1) * log((log(cos(cos(((-1.566387653351) * x7)))) + ((0.832419037819 ^ 2) ^ sin(((-0.196669280529) * x5)))))) + (1.772453904152 * x5)) / (3.138123989105 * x6)) * 0.832419037819))) / ((-0.183496117592) * x7))) / ((-0.196669280529) * x5))))',0.5001859358337998,0.5001857280731201,7456288,california_housing,28,19952,8,128,paper,4,0,1904449481,0.5159456444185498,1.2828171706222633
3600.016092896461,'((-2.411468505859) + (0.062259908766 * (((((-4.891437530518) * x5) - (1.772453904152 * x0)) / ((-0.097985789180) * x5)) * cos((((-0.097985789180) * x7) * (((-0.097985789180) * x7) / ((-0.639930129051) * x6)))))))',0.5184744235727786,0.5184743404388428,19098847,california_housing,21,19952,8,128,paper,4,0,784044718,0.5478685720843365,1.258513985297735
3600.032985765487,'((-0.779447913170) + ((-6.163704872131) * sin(((((-1.654422521591) * x0) * ((0.251642376184 + exp(((-0.759536504745) * x5))) * 0.170878037810)) - ((sin(cos((exp(cos(((-0.055187046528) * x1))) / 4.168961048126))) ^ (1.290464043617 * x2)) ^ 2)))))',0.4980162958189703,0.4980161488056183,5258979,california_housing,1,19952,8,128,paper,4,0,2811363264,0.4722654217347032,1.3926562790251602
3600.01852542907,'(2.564075946808 + ((-0.017993494868) * (((-1.080141663551) * x1) - ((0.604608237743 * x7) * (cos(((-0.242179661989) * x0)) + (cos((((-0.242179661989) * x0) * (log((0.119361713529 * x5)) ^ 2))) * exp(((2.677385091782 * x5) / ((-1.060300230980) * x1)))))))))',0.4992440635459067,0.4992439746856689,12005141,california_housing,16,19952,8,128,paper,4,0,550243861,0.4634269376332657,1.225831211174285
3600.023786984384,'(9.411963462830 + (2.588100194931 * (((0.147498130798 * x0) / (0.514665186405 * x5)) + (sin((cos(((0.330363512039 ^ exp((0.147498130798 * x0))) * ((0.707106769085 * x0) + (1.025371074677 * x2)))) - 1.560518860817)) - (sqrt((0.176770031452 * x6)) - cos((((0.318309873343 * (0.078451342881 * x7)) ^ 2) - (0.114036798477 * x6))))))))',0.4379868781350195,0.4379869103431701,7229791,california_housing,4,19952,8,128,paper,4,0,3687649985,0.5479950333164406,1.4338654835073195
3600.0211297236383,'(0.443771600723 + ((-0.395250469446) * (cos((1.512292504311 * x7)) + (log((((14.755363464355 * x4) * (sin(((-0.569014787674) * x0)) + (((-0.265178918839) * x3) * ((-0.233234286308) * x1)))) ^ 2)) / (((-1.739954471588) * x5) / (0.234419405460 * x0))))))',0.4743298239080352,0.4743298590183258,15372559,california_housing,15,19952,8,128,paper,4,0,2204291346,0.5770806914048903,1.437250730380004
