total_time_seconds,expression,mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,old_mse
600.0003599091433,'(exp(-2.84608*cos(x2) - 2.84608*cos((x4 + x8 + sin(x3 + 0.507135))**(x0*x6/x5)))*log(sqrt(x1)))**(1/4)*exp(-x7/4)',0.0018380352602033064,7477760,feynman_I_9_18,16,96666,9,128,paper,4,0,550243861,0.0018380332039669156
600.0034551469143,'exp(-1.86317*(0.29001**x1/0.784754**x3)**(x8 - sin(x2*(x0 + cos(log(x7))))))*sqrt(sin(sin(exp(x4 - x5) + 0.181109)))',0.0034986819080686272,11122304,feynman_I_9_18,17,96666,9,128,paper,4,0,3606691181,0.0034986715763807297
600.0015789330937,'log(sqrt(x1*(x1*x4*x6*(x2 + x8 - exp(cos((x0 + sqrt(x6))/x7)))*log(x0) + x2)))/x3**0.686035',0.0026846835011782723,11691776,feynman_I_9_18,18,96666,9,128,paper,4,0,1934392872,0.002684682607650757
600.0024985759519,'x0*x1*(x2 + 0.915469*cos(x3 + x5 + sin(x4 + 0.799786) + cos(log(x8)))/x8)*exp(-cos(log(x6)))/x7',0.0013147027338054232,11388928,feynman_I_9_18,19,96666,9,128,paper,4,0,2148995112,0.0013147026766091585
600.0014257619623,'log(0.244913*x1*sqrt(x0*x2*sqrt(x4*x6*x8/(-x2 + x5)))*exp(sin(x7)/4) + 0.838738*(1/x1)**(1/4))',0.0020873191889537825,11898752,feynman_I_9_18,20,96666,9,128,paper,4,0,1592565386,0.0020873150788247585
600.0042345288675,'0.352325219088573*exp(-sin(sin(sin(sin(sin(sin(sin(sin(sin(sin(x1 + x8))) + cos(x2)))))))) - cos(x0) - cos(x4/log(x3)**2)**4)',0.004893838209190326,3888512,feynman_I_9_18,21,96666,9,128,paper,4,0,784044718,0.004893827252089977
600.0010377180297,'(0.783237*x1 + x4/x5 - 0.783237*log(cos(x2*(0.339746*x0 - 0.339746*sin(sin(x3))**2 + 0.339746*x8**2/x5**2))) - cos(log(x6)))/x7',0.002456733625927113,4441728,feynman_I_9_18,22,96666,9,128,paper,4,0,3980425317,0.0024567381478846073
600.0044109809678,'-0.351488*(sqrt(x1 - cos(x0)) - cos(sqrt(log(x6) + sin(x4 - log(log(x3)**2)) + cos(x2))))*log(cos(sqrt(x2)))',0.004309542988879182,6873088,feynman_I_9_18,23,96666,9,128,paper,4,0,3356806661,0.004309541080147028
600.005077789072,'sin(exp(cos(x2**2/x7)) + log(x2)*cos(-x2 + x4 + x8))/(x5*cos(sin(-x1 + cos(x0) + cos(cos(x3)))))',0.003262154194300177,7253760,feynman_I_9_18,25,96666,9,128,paper,4,0,1728356533,0.003262152662500739
600.0118279110175,'((x7 - Abs(x2 - x5)**(0.0824962/((0.789466381072998 - x0)**4*(0.999166 - x2))) - 0.467506766319275/(0.789466381072998 - x1))**2)**(-0.472796)',0.008744382929150953,1889408,feynman_I_9_18,24,96666,9,128,paper,4,0,2765379632,0.008744383230805397
600.0108120620716,'-0.438901**(x4*exp(x2)/2) - 0.525549**exp(x1) + log(0.851728*x0**0.276202) + sin(exp(cos(cos(x7)/x5)))',0.0049538531762286266,4404480,feynman_I_9_18,26,96666,9,128,paper,4,0,3533734220,0.004953850992023945
600.0017190731596,'sin(sin(cos(cos(x0*log(x2)*log(x1/cos(log(x4/cos(sin(x5 - x6 + x7 + sin(cos(x0)) + cos(x8))))))))))**2',0.005587915958188546,5177344,feynman_I_9_18,27,96666,9,128,paper,4,0,2342600226,0.005587904714047909
600.0049793680664,'0.0688198*x0*x1*x2*(x4*cos(log(x7)) - x8*(-x6 + sin(x5)**2)*cos(log(x3))) + 0.0313093',0.0006659531310897557,7454592,feynman_I_9_18,28,96666,9,128,paper,4,0,1904449481,0.0006659538485109806
600.0040223950054,'((x2**(x6/4))**(2*x0)*exp(-x7/2))**(0.874677**(cos(x1)/log(cos(cos(cos(exp(sqrt(x1 - log(x4)))))))))',0.0051787274888231575,4844928,feynman_I_9_18,29,96666,9,128,paper,4,0,1934709049,0.0051787239499390125
600.0112605968025,'(cos(1.27853*sin(1.0848*x0*sin(0.740627288818359*x0/(sin(x0)*sin(x1)**3)))/x0) + (0.740627301687862*x0*x1*x4*x6*sin(x1)*sin(x2)*cos(1.51283/(x1*x4))*cos(1.27853*log(x5)/(x0**3*x6))/(x5*log(x7/x2)*log(x5/x8)) + cos(x7*sin(1.32304*x1)/x2) + 0.587157781274641*x6/(x5*log(x3/x2)*log(x5/x8)))/x7)/x3',0.0003417363956643206,3222656,feynman_I_9_18,1,96666,9,128,paper,6,0,2811363264,0.0003417363332118839
600.0179004610982,'exp(-(0.867218*exp(0.123088/x1**1.17539)/x2 + sin(x6)**8/(x1*x6**7) + sin(x0)**8/x0**8)**2 - sin(sin(x8*sin(exp(sin(sin(sin(sin(x3)))))))*sin(x7 - 1.17539)*sin(exp(sin(x1/x8)) + 0.85279256105423/(sqrt(x4)*x6*x8*cos(exp(sin(x6*sin(exp(sin(x3))))*sin(sin(x6))*sin(sin(sin(x5)))/(x1*x6)) + exp(0.246175*sin(sin(x3))))) - x6**2*sin(x0)**2/(x0**2*x8**2)) + 2.38028 - sin(x6)/(x0*x1**1.17539*x4)))',0.0014795570251686,1069568,feynman_I_9_18,0,96666,9,128,paper,6,0,3324115916,0.0014795565512031317
600.0122086901683,'-0.580501*(-x0 - x1 + exp(cos(0.116077*x2*exp(x1)) + (x1 - exp(x8) - cos(x8))*sin(sin(0.116077*x2*exp(x4)))/(-0.116077*x2*(0.116077*exp(x0) + sin((x7 + x8)*cos(cos(x5))**x2))*exp(x1) + x7)))/(x1 + x3 - (-x1 - x2 + exp(exp(x6**(1/4)) - exp(x6) - sin(((x5 + x7)*cos(sin(x2 - x3)) + 0.783235)*cos(cos(x5)))))**2*sin(0.126288*x6*exp(x4))**2/((x5 - 0.126288*exp(x0)*cos(x4**2*sin(exp(sin(sqrt(x8))))*cos(x7 - 1.06609)))**2*cos(sin(x0 - x7))))',0.0006849660539235156,3702528,feynman_I_9_18,2,96666,9,128,paper,6,0,1884968544,0.000684967206325382
600.0210753539577,'(x0 + 0.523372*x5*sin(x3 + (x0 - x1**2*(-0.591027*x4 - 0.591027*x4*exp(x1**2)/(x5*x7))*sin(x3 + sin(x3 + (x8 + 0.591027*x3*x4*x5**(0.89526/sqrt(x2*x8))*x8*sin(x3)/(x0*x1**2*x2))/(x4 + x4*exp(2.06969*x6)/x5**2)) + log(0.678019/(x2*x8))**2/x5))/(x8 + 1.59426*exp(x1**2)*cos(x2/x3)/(sqrt(x0)*sqrt(x2)*x6*x7)))/(x2*sqrt(x6)))/x7',0.0008656594985843899,2209024,feynman_I_9_18,3,96666,9,128,paper,6,0,1859786275,0.0008656601421535015
600.0436345550697,'sin(sin(0.729343*sqrt(sqrt((x2 - sin(exp(sin(sqrt(x1)))))**2/(sqrt(x6) - sqrt(sin(sin(0.29614*exp(sin(x7/x2))/(x2 - sin(sin(exp(sin(sqrt(x1))))))**2))/x1)*exp(x3/2))**2)*exp(log(x4)**4*sin(sqrt(x6))**2*sin((sin(exp(sin(sqrt(x8))))/x6)**(1/4)*exp(x5/4))**4*sin((sin(exp(sin(x1 - log(x2))))/x6)**(1/4)*exp(x5/4))**4/(sin(x4*sin(sin(sin(sin(sin(sin(exp(sin(sqrt(x8))))))))))**4*sin(x4*sin(sin(sin(sin(sin(sin(exp(sin((sin(exp(sin(sqrt(x0))))/x0)**(1/4)*exp(x5/4))))))))))**2))/(x0 - x7)**2)))',0.0010970331000648506,1631744,feynman_I_9_18,4,96666,9,128,paper,6,0,3687649985,0.001097030472010374
600.0040503679775,'(x2 - 0.388396)**(-cos(x2 - cos(x2*(sqrt(x3) - cos(x1 - x7)/cos(cos(x8 - 1.13971662521362/x0))))) + cos(cos((x2 - cos(x7 - x8)/cos(x1 - sin(x6)))**cos(sqrt(x4) - 1.01736760139465/(x2*(x2 - sin(x2))))/((-x2*exp(-x1) + cos(x5*(-x2/x7 + cos(cos(cos(x6**x4)) - exp(-x1)*sin(x6)))) - exp(x1)/x3)*sin(sin(x6)))) - (-5.94150436372857*x1*exp(-x0)*cos(exp(x0)) + (x2 - cos(x2*(x2 - cos(x2 - log(x1)))))**(1.01736760139465/(x2*(x2 - 0.978001)*log(x2))))/x7))/x5',0.005102419778351406,6917888,feynman_I_9_18,5,96666,9,128,paper,6,0,369133708,0.005102420225739479
600.0191255330574,'cos((cos(0.570753**(x1/2))**(sqrt(x5)))**(cos(sqrt(x7) + sqrt(cos(sqrt((cos(sqrt(0.570753**(x1**0.62176*cos(x2 + x4 + x6))))**(x0 + sin(sin(sin(sin(sin(cos(x2))))))))**(exp(x1 + (cos(0.974707**(exp((x1**x6)**(x1**(2.76336*x4 + 1.5772)))**cos(x0)))**(sin(1.99375*x2) + sin(sin(x4 + x6)) + cos(x1)))**(x1**(x4 + x8**2)) + sin(sin(sin(sin(sin(sin(sin(x0 + x6)))))))/x8**2)**cos(x0))))**(sqrt(x1 + 2.76336*(x1**(x8**2 + 1.14549))**sin(4.43679*x3) + 1.0)/0.501567**x8))) + 0.225388))',0.002454432923894162,3045888,feynman_I_9_18,6,96666,9,128,paper,6,0,2995172877,0.0024544065818190575
600.0045854118653,'cos(sin(sin(sin(sqrt((-sin(0.674264*x0 - sqrt(x7)))**(((0.891768*((x2**(sqrt(x8)))**sin(x0))**sin(x0))**(sqrt((x4**x6)**(x6/2))))**x1)))))**(0.674264*x0 - sqrt(x3) + cos((sin((sin(cos(cos(x5 + 0.331203877925873)))**(-0.795251*(x2**(sqrt(x6)))**(2*sin(x0)) + cos(x8) + cos(cos(x5 + x7 + 0.246315002441406))))**(-exp(sin(x7)) + cos(x7)))**x1)**(cos(1.13596*sqrt(log(x0 + x7)))**(x0 - x1 + cos((0.794447**(-x6 + sqrt(x7)*sqrt(cos(cos(x5 - cos(x3 + sin(x0))))) + cos(x4**x8)))**(x7/2)))))))**2',0.0022148560471426165,3166080,feynman_I_9_18,8,96666,9,128,paper,6,0,404488628,0.0022148580756038427
