total_time_seconds,expression,mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,old_mse
600.0011529360199,'x2 + x3 + 4*cos(x1) + 21.6090698242188*x5**3/(x2**2*log(x10)**2)',62.03919876647152,26968448,409,1,58,12,128,paper,4,0,2811363264,62.039222717285156
600.0027239199262,'-x0 + x2 + x3 + 0.0751677*x5 - x5**(sqrt(x1))/(-13.3036*x2 - 13.3036*exp(8*cos(exp(2*cos(x1)))) + 176.985)',72.58703161201382,21530496,409,0,58,12,128,paper,4,0,3324115916,72.58705139160156
600.0001157040242,'-x0 + x2 + x3 - x3/(-13.3036 + (-0.0586255*x11 + 0.0586255*x2**2)**2/x2) + sqrt(x5) - exp(2*cos(sqrt(x7))) + 0.996556',85.50459526673892,26864896,409,2,58,12,128,paper,4,0,1884968544,85.5045394897461
600.0026234579273,'x4 + x4/((x4 + x5)**2*(2*x4 + x6 - (113.44*x0**2)**cos(x10) - 36.2962646484375)**2) + x5 + x6',6.566592798962371e-12,26872448,409,3,58,12,128,paper,4,0,1859786275,8.430074693865919e-11
600.0027210009284,'x2 + x3 - log(sin(sin(sin(sin(sin(sin(x10))))))**8) - (x5 - log(x11))**2/(x0**2*x4**2*cos(x1*x9))',92.5400674797388,21516928,409,4,58,12,128,paper,4,0,3687649985,69.28539276123047
600.002580136992,'x4 + x5 + x6',4.317517340575137e-28,26895616,409,5,58,12,128,paper,4,0,369133708,4.415753526720856e-11
600.0013687859755,'x4 + x5 + x6 + x4/(x3*(-sqrt(x10) + x9*sin(x5*(x9*sin(x11) - sin(x6))))*(x3 + x4))',5.151436632692733e-13,26935808,409,6,58,12,128,paper,4,0,2995172877,5.2186178989277465e-11
600.0027563490439,'x1 + x2 + x3 + exp(-sqrt(x2) + sqrt(x5)) - 2*cos(x7**(1/4)) + exp(sqrt(x5))/(x1*x9)',60.11132487975285,25850752,409,7,58,12,128,paper,4,0,865305066,60.111427307128906
600.0004563579569,'x5 - 4.77899e-7*x5/((2*x5 - 292.758)*sin(sin(exp(x1)))) + x6 + x4*Abs(x10)/x10',2.1635079034457354e-11,26999552,409,8,58,12,128,paper,4,0,404488628,4.415753526720856e-11
600.0008776540635,'x4 + x5**(-589.765) + x5 + x6 + sin(cos(sqrt(x6))**16 - 242.336)/(x11 + 589.765*x6)',1.6075710461896878e-11,26915712,409,9,58,12,128,paper,4,0,2261209995,6.824346643341528e-11
600.0002092169598,'x1 + x2 + x3 + x5**4/(x2 - x5 + 38.2215)**4 + x5**4/(x2 - x4 - 2*sin(x5))**4',66.51294839141448,24782336,409,10,58,12,128,paper,4,0,4190266092,66.5128402709961
600.0000351100462,'x1 + x2 + x3 + x5**(1/4) + sin(x1**log(log(sqrt(x3))))/cos(x9) + sin(481.073*x5) + cos(x1) + cos(x8)',102.09407748402309,26993792,409,11,58,12,128,paper,4,0,3160032368,78.73841094970703
600.0019993609749,'x2 + x3 + log(2*x5) + log(x7 + 0.029309) - sin(x5)**2/cos(x9) + 3*cos(x1)',106.61392548791217,26861184,409,12,58,12,128,paper,4,0,3269070126,73.016357421875
600.0025020409375,'x1 + 0.895254*x2 + x3 + 5*sqrt(x5) - 27.908',365.10615516225397,26967808,409,13,58,12,128,paper,4,0,3081541439,365.10626220703125
600.0009978991002,'sqrt(sqrt(x10)*x4 + 2*x4**2 + x4*x5 + 2*x5**2 + 2*x6**2 - x7 - 472.737976074219)',42.8523726252559,27048320,409,14,58,12,128,paper,4,0,3376120482,42.8524055480957
600.0000873769168,'sqrt(x2**2 + 2*x3**2 + x5**2 + x5*x6 + x6 + exp(x1) + 2817.19)',130.37155102580795,26949504,409,16,58,12,128,paper,4,0,550243861,130.3715057373047
600.0000757289818,'x2 + x3 + exp(exp(cos(x6 + exp(x1**2)))) + exp(sin(x6))/sin(sqrt(x4)) + sin(x0) + 2*sin(x1) - 1.66229',126.8390220449917,27013504,409,17,58,12,128,paper,4,0,3606691181,101.16598510742188
600.0004930020077,'sqrt(x2*sqrt(x3*sqrt(x5*sqrt(x3*(x7**2 + exp(sqrt(x5)) + 187255.0*exp(2*sqrt(log(x1*x3))) - 552.695)))))',362.6898187556888,26940416,409,15,58,12,128,paper,4,0,2204291346,362.6895751953125
600.0013189060846,'x2 + x3 + sqrt(x7*exp(4*cos(sqrt(x7) + 358.057464599609)))*exp(2*cos(x1)) + exp(sin(x4))*exp(2*cos(x3))',71.7721961719945,26935040,409,18,58,12,128,paper,4,0,1934392872,71.77191925048828
600.0003368519247,'98.5397**(0.00455608*x5/cos(x1**2)) + x1 + x2 + x3 + sin(x7**(1/4)) + sin(exp(x1)) + 2*cos(x1)',31.479467891002688,27035520,409,19,58,12,128,paper,4,0,2148995112,31.479509353637695
600.0027260310017,'sqrt(x2**2 + x3**2 + x4**2 + 2*x4 + 100.068*x5 + x6**2 + (x1 + x5)**2 - 1187.78)',97.1362996870894,26909824,409,20,58,12,128,paper,4,0,1592565386,97.13628387451172
600.000983103062,'x1 + x2 + x3 + exp(exp(sin(x7*x8))) + exp(4*sin(x2 + 568.955078125)**128) - 405.403137207031/x5',270.7354307626681,26917888,409,21,58,12,128,paper,4,0,784044718,235.49681091308594
600.0008615419501,'-x0 + x2 + x3 + sqrt(x5) + 4*cos(x1) + cos(x3) - 2*cos(sqrt(x7))',61.58557214464117,26901760,409,23,58,12,128,paper,4,0,3356806661,61.58549118041992
600.0004327170318,'x1 + x3 + x5 + sqrt(x2**4/(x4*x5**2) + 0.15731*x2**2) + log(x4**16/x5**16)',131.6579844749784,27021056,409,22,58,12,128,paper,4,0,3980425317,131.65805053710938
600.0009497640422,'sqrt(x5**2 + x6**2 + sqrt(x10*(x0**2 - x2)**2 + 2*x3**2*x9 + x5**4))',187.05267888669408,26870912,409,25,58,12,128,paper,4,0,1728356533,187.05259704589844
600.0009758580709,'x2 + x3 + exp(exp(1.26682*sin(x3)*cos(x10)**2)) + exp(cos(x8)) + sin(sin(x5))*cos(x0)/cos(x9)',90.79745236441602,27065728,409,26,58,12,128,paper,4,0,3533734220,53.008296966552734
600.000685471925,'(log(1.03299*x5)**exp(exp(-x5*exp(exp(cos(log(log(x4))))/sqrt(x5))**(1/4) + x5)))**exp(sqrt(log(log(x6))))',157.9218420407782,26882304,409,24,58,12,128,paper,4,0,2765379632,157.92259216308594
600.0023901870009,'x4 + x5 + x6',4.317517340575137e-28,27082624,409,28,58,12,128,paper,4,0,1904449481,7.22577830902793e-11
600.0014355469029,'x2 + x3 - sqrt(x5)*(x5 - exp(x0))/(x7 - sqrt(x8)) - sin(sqrt(x2)) - 2*sin(sqrt(x7)) + 0.997194',116.7962935768684,26821120,409,27,58,12,128,paper,4,0,2342600226,116.79630279541016
