alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"Mixed++",100000,2.211688995361328,"1028_SWD",1,False,"(4.404001556938278 - ((sin(x2)/x2) + (sin(x9)/(x4 * x9))))",0.33883065051914074,0.28704538942699964
"Mixed++",100000,2.2484099864959717,"1028_SWD",0,False,"((((x2 + -4.616720655980833) - sin(x2))/(x4 + (x7 * x9))) - -4.282515372529879)",0.3204285826000184,0.24974786420504613
"Mixed++",100000,2.2509329319000244,"1028_SWD",2,False,"(4.802554590344599 - ((sin(x0) + 0.9688312175703084)/x2))",0.25349208004662227,0.2806105395800349
"Mixed++",100000,4.073197841644287,"1028_SWD",1,True,"1.68416 + (0.143878 * (((((x8 + x4) - (x3/x6)) - sin((x2 + x2))) + (((x3 + x1) + (x7 + 1.6779179767480945)) + ((x2 * x9) * sin(2.2937389616873247))))))",0.4436111667952317,0.32022692532556674
"Mixed++",100000,4.221888065338135,"1028_SWD",2,True,"1.84353 + (0.102118 * ((((x0 + (x1 + x4)) - sin((x2 + x1))) + (((x7 * x9) + (x6 + x5)) - ((x2 * -2.2015724869995195) + (x7 - x8))))))",0.41140232155872536,0.423138243118677
"Mixed++",100000,4.306127071380615,"1028_SWD",0,True,"2.44428 + (-0.0454277 * (((((2.93328125834544 * x0) - (x7 * x4)) * (x9/x1)) - ((x6 * x8) - ((-4.368416867544198 - x9) * (x2 + x0))))))",0.43202218297007633,0.3102939252193677
"Mixed++",100000,3.240540027618408,"1028_SWD",3,False,"(sin(((x7 + -1.309397346100753) - (x7/x2))) - (((x3 + x7)/(x0 + x3)) - (sin(0.5447440167117124) - -4.604943522632154)))",0.2604896138877747,0.1710381738590565
"Mixed++",100000,3.7599809169769287,"1028_SWD",3,True,"2.29268 + (0.113423 * (((((x4 + x6) + (x5/x8)) + ((x2 * x9) + (x8 + x0))) - (((x0 + x9) + x9)/((x1 * x7) * (x8 * x7))))))",0.4150448732223787,0.40219003019856414
"Mixed++",100000,2.578610897064209,"1028_SWD",4,False,"(((-4.422652671959575 - (x2 + x9)) + ((x9/1.5987340050045062)/x4)) * sin(sin(3.660274378278634)))",0.2970849392281877,0.29723831179008353
"Mixed++",100000,3.707509994506836,"1028_SWD",4,True,"2.71268 + (-0.146587 * (((((x9/x2) + x2) - ((x6 + x1) + (x8 + x9))) - ((x9 - (4.112040347244967 - x4)) - ((3.6376626083345585/x2) - (x2 + x7))))))",0.4112912169244155,0.4255881386070499
"Mixed++",500000,10.656527757644653,"1028_SWD",2,False,"((((x2 + x9) + 4.936667099084234) + (x7 + x4))/3.603029267319199)",0.31740739480405045,0.3563394646645671
"Mixed++",500000,13.710822105407715,"1028_SWD",1,False,"((((x5 + 3.6631564228996694) - (x4 * -0.14086040752217255))/sin(sin(x5)))/(((x5/x9)/(x2 * x0)) + ((x3/x3) + sin(0.697114497233613))))",0.3081401314582842,0.2229971958849446
"Mixed++",500000,13.966651916503906,"1028_SWD",0,False,"((((x2/4.79263550108986) + 4.00344149263999) - (sin(1.7559214608781692) + (x9/-3.943034657997769))) - ((sin(x8)/x7)/x2))",0.37044026818423303,0.2628808602508056
"Mixed++",500000,9.873219013214111,"1028_SWD",3,False,"(0.39270458559201193 * ((x9 + x2) - ((x9/x4) - (1.6551285399325222 + 4.815003829795622))))",0.3431545872274371,0.31842216022727265
"Mixed++",100000,2.4703140258789062,"1028_SWD",5,False,"(4.12797878095747 - sin((x2 + sin(x2))))",0.265319636506151,0.2216932422878224
"Mixed++",100000,3.6734001636505127,"1028_SWD",5,True,"2.3323 + (0.10323 * (((((x4 + x6) + (x5 * x7)) + x1) + (((x8 * x9) + (-3.4908864090400282/x2)) + x2))))",0.41852541658694864,0.3788052701499446
"Mixed++",100000,2.5984108448028564,"1028_SWD",6,False,"(x2 + (sin(sin(x2)) + ((x8 + x2)/(x2 + x2))))",0.25378554758062655,0.21047288337743464
"Mixed++",500000,11.108038902282715,"1028_SWD",4,False,"(3.989720581531703 + sin(((-2.5400185427220636 + x2)/(x2 * x4))))",0.2797777371191995,0.2628897192209082
"Mixed++",100000,3.93278169631958,"1028_SWD",6,True,"1.97012 + (0.0723125 * (((((x9 + x1) + (x9 * x2)) + ((x4 * x8) + sin(x2))) + (((x6 + x6) + (x1/x5)) + ((x5 * x7) + x2)))))",0.40308870119339935,0.41598845479338686
"Mixed++",500000,21.684248208999634,"1028_SWD",0,True,"1.23103 + (-0.146718 * ((((sin(x3) - (x4 + x9)) - ((x5 + x8) + sin(x2))) + (((x5/x0) - (x6 + x7)) - (x2 + (x2 + x1))))))",0.43814063640296064,0.32578705575323663
"Mixed++",500000,21.9728581905365,"1028_SWD",1,True,"1.92704 + (0.132005 * (((((-1.962656606812312 - x3)/(x2 * 0.6799163229722993)) + ((x6 + x8) + sin(x7))) + (((x1 + x5) + (x9 * x7)) + (sin(x1) + (x3 + x4))))))",0.45477378361305276,0.2863388354217654
