total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed
3600.48052861169,'(0.109241493046 + ((-0.042727224529) * (((((-0.756423413754) * x6) / ((-0.841831624508) * x3)) * (((-2.856671094894) * x2) * (2.298260450363 * x0))) - (((1.772453904152 * x1) / exp(((-0.515276253223) * x4))) - (2.120155572891 * x5)))))',0.0033250965218699032,0.003325093537569046,1330081,feynman_I_9_18,20,96666,9,128,paper,4,0,1592565386
3600.439623337239,'((-0.000791355560) + ((-0.287593483925) * (((exp(((-1.569232344627) * x5)) ^ ((-0.695717096329) + 0.826891362667)) ^ exp(cos(((-0.655844092369) * x2)))) * ((sqrt((2.037262678146 * x4)) * (1.005418539047 * x0)) * (sqrt((0.230476915836 * x8)) * ((-1.482291579247) * x1))))))',0.0030741375631234144,0.0030741305090487003,383394,feynman_I_9_18,26,96666,9,128,paper,6,0,3533734220
3600.0672525949776,'((-0.207966387272) + ((-0.043223381042) * ((((-0.900548100471) * x0) + (((-2.105557203293) * x4) * (0.145523190498 * x6))) * ((1.858645200729 * x1) + (1.872098803520 * x2)))))',0.004393693505644334,0.0043936860747635365,1824929,feynman_I_9_18,19,96666,9,128,paper,4,0,2148995112
3600.2482747100294,'(0.005118479952 + ((-0.011462655850) * (((1.772453904152 * x2) * (1.609258890152 * x1)) * (cos(((1.647403120995 * x5) + (1.556817293167 * x7))) - (2.656948328018 * x0)))))',0.004016036950536317,0.0040160296484827995,1653746,feynman_I_9_18,6,96666,9,128,paper,4,0,2995172877
3600.6321237161756,'((-1.416813731194) + (1.445354223251 * ((((((1.414213538170 * x0) * ((((0.520112514496 * x8) - (0.378673374653 * x5)) * ((-2.527459383011) * x3)) - ((-0.067295938730) * x7))) ^ ((-0.067295938730) * x7)) * ((1.414213538170 * x0) + (0.520112514496 * x6))) ^ ((-4.570988178253) * x1)) ^ ((-0.030508756638) * x2))))',0.002005295420279341,0.0020052941981703043,449610,feynman_I_9_18,9,96666,9,128,paper,4,0,2261209995
3600.462921909988,'(0.026055812836 + ((-0.230064630508) * ((cos(sin(((0.754346787930 * x4) + (0.726583182812 * x8)))) * (2.351543664932 * x0)) * ((((1.319315433502 * x1) / (0.037010431290 * x7)) * (((0.069964185357 * x6) / ((-0.870059251785) * x3)) / (1.946072101593 * x5))) * (3.791388034821 * x2)))))',0.0009098754698517474,0.0009098755544982851,1152606,feynman_I_9_18,18,96666,9,128,paper,4,0,1934392872
3600.246940802783,'(0.013336461969 + ((-0.005131403916) * ((3.648479461670 * x1) * ((2.221812725067 * x2) * ((((-1.195066571236) * x6) - (2.221812725067 * x0)) + (0.633391380310 * x5))))))',0.0042181139497528474,0.004218111280351877,2211052,feynman_I_9_18,13,96666,9,128,paper,4,0,3081541439
3600.396856728941,'(0.031351510435 + ((-20.697452545166) * ((((((-0.866552829742) * x4) / (((-1.782550811768) * x5) / (3.903062820435 * x2))) * (1.998341917992 * x0)) * ((-0.212198376656) * x1)) / (((3.385598421097 * x7) - (2.632688522339 * x6)) * (3.566496372223 * x3)))))',0.0018560315344829576,0.0018560286844149232,1279163,feynman_I_9_18,4,96666,9,128,paper,4,0,3687649985
3600.765761334449,'((-0.030134638771) + ((-0.023947075009) * ((((-0.768267452717) * x0) + ((((0.318309873343 / (0.162808552384 * x1)) + ((-0.369692742825) * x8)) - ((2.893756628036 * x4) / ((log((6.935757160187 ^ ((-0.485728621483) * x7))) - ((-0.357059240341) * x6)) ^ 2))) + ((-0.357059240341) * x6))) * ((6.577408790588 * x2) / (0.318309873343 * x5)))))',0.0018451245427941723,0.0018451240612193942,1268362,feynman_I_9_18,23,96666,9,128,paper,4,0,3356806661
3600.3679513819516,'(0.073864966631 + (0.000037340040 * ((((log(sin(sin((exp(((-0.394449681044) * x0)) / ((2.524691581726 * x1) + (1.351044178009 * x6)))))) ^ 2) + (1.975567817688 * x2)) ^ 2) ^ 2)))',0.004959322274776727,0.004959321580827236,2045660,feynman_I_9_18,17,96666,9,128,paper,4,0,3606691181
