total_time_seconds,expression,mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,old_mse,mse_val,var_y_val
600.4931122311391,'sqrt(x0 + log(log(sqrt(log(x0/x5 + 1.42)**(x1/x5 + 1.42*x1/(sqrt(x0)*x5)) + 1.19) + 1.0)**x0))',0.5386853072243885,109568,california_housing,0,19952,8,256,paper,4,0,3324115916,0.5385573506355286,0.5141221090204997,1.465685298106843
600.7027261869516,'((x0**cos(sqrt(x0)*(-x2*sqrt(x5) + x5)/(x3*square(x0))))**exp(0.869*x1**(1/4)/(sqrt(x0)*x5)))**0.569',0.5233319958911359,139264,california_housing,1,19952,8,256,paper,4,0,2811363264,0.5232577919960022,0.4888604892406914,1.3926562790251602
605.17818662012,'sqrt(x0/sqrt(x5**2*exp(-exp(sin(sin(sin(sin(sin(sin(sin(sin(x0*sin(cos(x5**2/x0))/x5))))))))))/x0))',0.5555121309100615,80640,california_housing,2,19952,8,256,paper,4,0,1884968544,0.5555121302604675,0.5700848983668071,1.3373165952589217
600.0551809880417,'sqrt(x0**((square(square(x7/x0))**(x5**(0.138*x7/(x1*x5*square(square(x0/x5**2))))))**0.0345))',0.5651781597835502,126464,california_housing,3,19952,8,256,paper,4,0,1859786275,0.5652433633804321,0.5357805255382759,1.3738802419863227
600.4017551050056,'log(x0*(-sqrt(x0) + x0 + x1/(1.31*exp(-x5) + exp(exp(x5)/x0)/sqrt(x0)) + sqrt(x6)/x0)/sqrt(x2))',0.4925212279152847,118272,california_housing,4,19952,8,256,paper,4,0,3687649985,0.4925217926502228,0.553126876912247,1.4338654835073195
601.2000216490123,'sqrt((x0 + x0*(x1*sqrt(x1**2/x6))**(1/4)/x2**cos(cos(x0/x5)))*sqrt(x0 + cos(x0))/x5)',0.5279971126671574,108288,california_housing,5,19952,8,256,paper,4,0,369133708,0.5279971361160278,0.5138161252818138,1.3728930219608977
601.5374004179612,'sqrt(x0*sqrt(x0*sqrt(x0*sqrt(exp(sqrt(x1)*(x1*x4/x6**2)**(1/4)/x5))/x2)/x5**2))',0.5125613584747499,95488,california_housing,6,19952,8,256,paper,4,0,2995172877,0.5125613212585449,0.6436949982520903,1.372188991818236
600.9279433151241,'x0/x5 + cos(sqrt(log(square(square(exp(cos(x2 + cos(x0/x5 + x1/x2**2 + x2))))) + 1)/x0))',0.5355436228706005,96512,california_housing,7,19952,8,256,paper,4,0,865305066,0.5355436205863953,0.5635356587184692,1.3414322306787145
638.6132998832036,'0.414*x0 + 0.016*x1 + 0.00801*exp(exp(cos(x0)))',0.6504660348481254,39424,california_housing,8,19952,8,256,paper,4,0,404488628,0.6504545211791992,0.7140300647975981,1.4181585031788415
600.0765971669462,'sqrt(exp(sqrt(x0)*cos(sin(sqrt(x0 + x1*cos(sqrt(0.277*x1/x5**2 + 6.08/x5) + 3.61)/(x2*x5))))))',0.5875893402667994,84736,california_housing,9,19952,8,256,paper,4,0,2261209995,0.5875563025474548,0.5669482877485684,1.2249408959619739
600.7088972339407,'x0/x5 + cos((x0*x1**x0/x2)**((x1/x2 + x2*log(x0**2/x6))/x7))',0.5178303219033324,142080,california_housing,10,19952,8,256,paper,4,0,4190266092,0.5178302526473999,0.41647761658545535,1.2465631069322596
600.6131864369381,'x0/(sqrt(x1)/x1**(x1**square(x0/x2)/x2) + x5) + sin(sqrt(x0 + square(square((x0 + x5)/x2)))/x5)',0.5120866807697227,116224,california_housing,11,19952,8,256,paper,4,0,3160032368,0.5120866894721985,0.5716643539333164,1.3817056042604516
600.0080809809733,'x0/(log(x5 + sqrt(x0**(1/4)*(sqrt(exp(x0)) + exp(x2/sqrt(x0/x5)))/x3**2)/sqrt(x1)) + 0.24)',0.5227876590765782,127744,california_housing,12,19952,8,256,paper,4,0,3269070126,0.5228357315063477,0.45811380790517287,1.3095206947707672
601.9862661529332,'sqrt(x0*sqrt(x0*sqrt((x0/sqrt(x2*sqrt(x0*x2/x4)))**(sqrt(x1/(x2*x5)))))/x5)',0.5277375490092008,92672,california_housing,13,19952,8,256,paper,4,0,3081541439,0.5277374982833862,0.49215807626966324,1.3059154566722329
601.0097167389467,'1.08*sqrt(x0*sqrt(x0*sqrt(x1)/x2)*sqrt(x0*(sqrt(x4)*x5/(x0*x2))**(1/4)/x5)/x5)',0.5368446937410759,94464,california_housing,14,19952,8,256,paper,4,0,3376120482,0.5369375348091125,0.4647781528230527,1.26125465470917
600.72571930103,'0.259*x0/(x5 - 0.529)**0.376 + log(x0 + exp(-0.247*square(square(square(square(-0.247*x2))))*square(square(square(log(x5 - 0.178))))))',0.6074468735935844,121344,california_housing,15,19952,8,256,paper,4,0,2204291346,0.6073837876319885,0.7690819490775574,1.437250730380004
600.7393171351869,'log(x0) + (x3*(x0 + sin(x5) + cos(sqrt(x1)) + cos(x0 + sin(x5))) + sin(x0) + sin(x5) + sin(sin(x2)))/x2',0.5644847165181541,106752,california_housing,16,19952,8,256,paper,4,0,550243861,0.564484715461731,0.49928194823417527,1.225831211174285
600.6937781088054,'x0/(cos(sin(x5)) + 0.331 + sqrt(x0 + 3*x5 + 2*cos(x2) - 1.92)/sqrt(x1))',0.5728018201176429,61952,california_housing,17,19952,8,256,paper,4,0,3606691181,0.5728244781494141,0.5908596958823038,1.3989138740044609
