total_time_seconds,expression,mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,old_mse,mse_val,var_y_val
600.0111492779106,'sin(sin(sin(sin(cos((x2 + x3 - x8 - (x0 - 0.742826)**2 - sin(x7) - cos(x5/x1**2) + 0.126033)*exp(-x2))))))**2',0.0069610592737292,3365120,feynman_I_9_18,2,96666,9,128,paper,4,0,1884968544,0.0069610602222383,0.007570024528160492,0.01578906201855131
600.002400571946,'sin(cos((x7 - log(x0) + 0.694687*sin(sin(x7)) + 0.694687*cos(sqrt(x6*x8)))/(x1 + x2 - log(x3 - 1.18022) - cos(x5))))**2',0.00338370173113,5908864,feynman_I_9_18,1,96666,9,128,paper,4,0,2811363264,0.0033836991060525,0.003224669258035773,0.014787830527591556
600.0114134619944,'sin(sin(sin(cos((x0 + x3 - sqrt(x4) + sin(1.25964*x1*x2))*exp(-x0)*exp(-x3*exp(-exp(x0)))))))**2',0.0066279011695175,4365184,feynman_I_9_18,0,96666,9,128,paper,4,0,3324115916,0.0066278986632823,0.006608117540594919,0.01500963479960869
600.0023065330461,'x1*exp(-0.365639*x7)*exp(-0.709122*cos(x2))*sin(x0*sin(sin(x4*sin(x6/x5))))',0.0028797746393498,11677184,feynman_I_9_18,3,96666,9,128,paper,4,0,1859786275,0.0028797714039683,0.002794097108905307,0.014817351329235692
600.0130398881156,'1/((x5/x1)**1.22895*(0.592472 + log(x7)**2/x0**2)*(0.598647 - log(0.172563*x2**2)/(x4*sqrt(x6)*x8)))',0.0024306322952202,5458176,feynman_I_9_18,4,96666,9,128,paper,4,0,3687649985,0.0024306348059326,0.0022121926997418035,0.014789527987376061
600.0166088941041,'sin(sqrt(log(x4*x6*x8)))/(x7 - log(log(x0*x1*x2)**(0.310332**cos(x3))))',0.0027580483712632,4386560,feynman_I_9_18,5,96666,9,128,paper,4,0,369133708,0.0027580463793128,0.0029168657550071144,0.01602824928895986
600.0029923061375,'cos((x0*x2*x6 + x8 + exp(sin(x7)))**(cos(sqrt(x1*cos(x4**cos(x0*x8*cos(x7))) + x2))/2))**2',0.005348261543769,6034560,feynman_I_9_18,6,96666,9,128,paper,4,0,2995172877,0.0053482600487768,0.005382598009516225,0.01533065279517718
600.0111457491294,'(cos(sin(log(x5)))**2)**(0.690179**(2*7.15871e-6**(0.690179**(2*x0*x1))*x2**2*x4*x6*x8) + 0.56653)',0.0040843785163291,2273536,feynman_I_9_18,7,96666,9,128,paper,4,0,865305066,0.004084350541234,0.004338487526720638,0.014732629314869248
600.0036859661341,'log(x0**2 + log(x0**(2*cos(x0**2))*cos(log(x0))**2 + x1**2*(x0**cos(x1) - x2 - 0.269232)**2))/x5',0.0054937154673925,2782080,feynman_I_9_18,8,96666,9,128,paper,4,0,404488628,0.005493713542819,0.005462975765879709,0.015012825799930097
600.0005250999238,'-0.109202*x0*x2*(-sqrt(x6) + cos(x3 - x4 + sqrt(x5) + cos(sqrt(x8))**x8))*cos(log(x1) - log(x7))',0.0019281903501916,12109824,feynman_I_9_18,9,96666,9,128,paper,4,0,2261209995,0.0019281824352219,0.001951600053583538,0.015217626240730182
600.002006198978,'x0**(1/4) + log(x1**(1/4)) + log(x2**(1/4)) + log(sqrt(sin(sqrt(sin(sqrt(x5 + x7)))))) - 0.778705',0.0047413808537378,7445120,feynman_I_9_18,10,96666,9,128,paper,4,0,4190266092,0.0047413846477866,0.00450318644080153,0.014635842225690015
600.0052427889314,'-0.619746625423431*exp(log(x0)**2 + log(x1**(sqrt(x4)))**2)/(x2 - x3 - x5 + x8 + cos((-1.06476*x6 + x7)/x2))',0.0018071984545011,3979776,feynman_I_9_18,11,96666,9,128,paper,4,0,3160032368,0.0018072007223963,0.0017468570414206203,0.014869279065905265
600.0008487161249,'sin(sin(cos(cos(x2/x3))))**3.38337/(cos(x8/(x5 + cos(x4)))**2*cos(sin(sin(sin(x0*x1/x7))))**4)',0.0030237088769248,3969280,feynman_I_9_18,12,96666,9,128,paper,4,0,3269070126,0.0030237135943025,0.0031002861016753295,0.01584463092513179
600.0009561749175,'x0/(x7*((0.724897**((x1**x8)**(2*x6)))**(x2/x5) + 1.04290580749512*x3*exp(-0.526784*x4)/x2))',0.0015838595398958,3138816,feynman_I_9_18,13,96666,9,128,paper,4,0,3081541439,0.0015838586259633,0.0015732851379589062,0.014927283218609012
600.000155902002,'(x2*x4*log(x1)*cos(x3) + x5 + cos(x6 - 0.499781)**(0.0858687*x0**8*sin(x7 - x8)**8))**(-1.08063)',0.0042300047257381,3076992,feynman_I_9_18,14,96666,9,128,paper,4,0,3376120482,0.0042299982160329,0.00425957593865684,0.014799631512220067
600.017804105999,'0.113935*x0 + 0.0149545*x2**2*(x6**2*(x0**2 + x8**2)*log(x1)*cos(log(x3/x4)) + x8) - 0.0294168',0.0031661477704071,2546944,feynman_I_9_18,15,96666,9,128,paper,4,0,2204291346,0.0031661437824368,0.0031444273850414037,0.015664712928069403
600.0003599091433,'(exp(-2.84608*cos(x2) - 2.84608*cos((x4 + x8 + sin(x3 + 0.507135))**(x0*x6/x5)))*log(sqrt(x1)))**(1/4)*exp(-x7/4)',0.0018380352602033,7477760,feynman_I_9_18,16,96666,9,128,paper,4,0,550243861,0.0018380332039669,0.0018041886630438286,0.014634600315693866
600.0034551469143,'exp(-1.86317*(0.29001**x1/0.784754**x3)**(x8 - sin(x2*(x0 + cos(log(x7))))))*sqrt(sin(sin(exp(x4 - x5) + 0.181109)))',0.0034986819080686,11122304,feynman_I_9_18,17,96666,9,128,paper,4,0,3606691181,0.0034986715763807,0.003467501193794201,0.014101770833050569
600.0015789330937,'log(sqrt(x1*(x1*x4*x6*(x2 + x8 - exp(cos((x0 + sqrt(x6))/x7)))*log(x0) + x2)))/x3**0.686035',0.0026846835011782,11691776,feynman_I_9_18,18,96666,9,128,paper,4,0,1934392872,0.0026846826076507,0.0026999055738233455,0.015063915797645318
600.0024985759519,'x0*x1*(x2 + 0.915469*cos(x3 + x5 + sin(x4 + 0.799786) + cos(log(x8)))/x8)*exp(-cos(log(x6)))/x7',0.0013147027338054,11388928,feynman_I_9_18,19,96666,9,128,paper,4,0,2148995112,0.0013147026766091,0.0012430352031840778,0.015360077705745646
600.0014257619623,'log(0.244913*x1*sqrt(x0*x2*sqrt(x4*x6*x8/(-x2 + x5)))*exp(sin(x7)/4) + 0.838738*(1/x1)**(1/4))',0.0020873191889537,11898752,feynman_I_9_18,20,96666,9,128,paper,4,0,1592565386,0.0020873150788247,0.0021012724137899476,0.015862985259919183
600.0042345288675,'0.352325219088573*exp(-sin(sin(sin(sin(sin(sin(sin(sin(sin(sin(x1 + x8))) + cos(x2)))))))) - cos(x0) - cos(x4/log(x3)**2)**4)',0.0048938382091903,3888512,feynman_I_9_18,21,96666,9,128,paper,4,0,784044718,0.0048938272520899,0.00513315916194103,0.0158306143559567
